id,value
Diseases_of_the_circulatory_system|Diseases_of_veins-_lymphatic_vessels_and_lymph_nodes-_not_elsewhere_classified|Other_venous_embolism_and_thrombosis|Acute_embolism_and_thrombosis_of_deep_veins_of_lower_extremity|Acute_embolism_and_thrombosis_of_unspecified_deep_veins_of_lower_extremity,2.787091367
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Atrial_fibrillation_and_flutter,1.656668268
Diseases_of_the_circulatory_system|Hypertensive_diseases|Hypertensive_heart_and_chronic_kidney_disease,1.268760436
Diseases_of_the_circulatory_system|Diseases_of_veins-_lymphatic_vessels_and_lymph_nodes-_not_elsewhere_classified|Other_venous_embolism_and_thrombosis|Acute_embolism_and_thrombosis_of_deep_veins_of_lower_extremity|Acute_embolism_and_thrombosis_of_unspecified_deep_veins_of_lower_extremity,0.8318648051
Factors_influencing_health_status_and_contact_with_health_services|Encounters_for_other_specific_health_care|Encounter_for_adjustment_and_management_of_implanted_device|Encounter_for_adjustment_and_management_of_cardiac_device|Encounter_for_adjustment_and_management_of_cardiac_pacemaker,0.7967904397
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Atrial_fibrillation_and_flutter,0.7800416687
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Paroxysmal_tachycardia,0.7680683488
Diseases_of_the_circulatory_system|Hypertensive_diseases|Hypertensive_heart_and_chronic_kidney_disease,0.7567893583
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Atrial_fibrillation_and_flutter|Unspecified_atrial_fibrillation_and_atrial_flutter,0.6982673392
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Heart_failure|Systolic_(congestive)_heart_failure,0.6946607279
Diseases_of_the_circulatory_system|Hypertensive_diseases|Hypertensive_heart_disease,0.6020795903
Diseases_of_the_circulatory_system|Pulmonary_heart_disease_and_diseases_of_pulmonary_circulation|Other_pulmonary_heart_diseases|Other_secondary_pulmonary_hypertension,0.5756736882
Factors_influencing_health_status_and_contact_with_health_services|Persons_with_potential_health_hazards_related_to_family_and_personal_history_and_certain_conditions_influencing_health_status|Presence_of_cardiac_and_vascular_implants_and_grafts,0.4643760063
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Atrial_fibrillation_and_flutter|Chronic_atrial_fibrillation,0.4504940031
Diseases_of_the_circulatory_system|Pulmonary_heart_disease_and_diseases_of_pulmonary_circulation|Other_pulmonary_heart_diseases|Other_secondary_pulmonary_hypertension,0.415653433
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Cardiomyopathy,0.4143506742
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Cardiomyopathy,0.3757991634
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Other_cardiac_arrhythmias,0.3536997729
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Heart_failure|Systolic_(congestive)_heart_failure,0.3377433048
Factors_influencing_health_status_and_contact_with_health_services|Persons_with_potential_health_hazards_related_to_family_and_personal_history_and_certain_conditions_influencing_health_status|Personal_history_of_certain_other_diseases|Personal_history_of_diseases_of_the_circulatory_system|Personal_history_of_venous_thrombosis_and_embolism,0.3368173149
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Atrial_fibrillation_and_flutter,0.2964229358
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Cardiomyopathy,0.2877006966
SUPPLEMENTARY_CLASSIFICATION_OF_FACTORS_INFLUENCING_HEALTH_STATUS_AND_CONTACT_WITH_HEALTH_SERVICES|PERSONS_ENCOUNTERING_HEALTH_SERVICES_FOR_SPECIFIC_PROCEDURES_AND_AFTERCARE|Encounter_for_other_and_unspecified_procedures_and_aftercare|Encounter_for_long-term_(current)_drug_use,0.2805054352
SUPPLEMENTARY_CLASSIFICATION_OF_FACTORS_INFLUENCING_HEALTH_STATUS_AND_CONTACT_WITH_HEALTH_SERVICES|PERSONS_ENCOUNTERING_HEALTH_SERVICES_FOR_SPECIFIC_PROCEDURES_AND_AFTERCARE|Encounter_for_other_and_unspecified_procedures_and_aftercare|Encounter_for_long-term_(current)_drug_use,0.2551569142
Diseases_of_the_musculoskeletal_system_and_connective_tissue|Inflammatory_polyarthropathies|Gout,0.2547821096
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Cardiomyopathy,0.233871448
Factors_influencing_health_status_and_contact_with_health_services|Persons_with_potential_health_hazards_related_to_family_and_personal_history_and_certain_conditions_influencing_health_status|Presence_of_cardiac_and_vascular_implants_and_grafts,0.2296027149
Diseases_of_the_circulatory_system|Hypertensive_diseases|Hypertensive_heart_and_chronic_kidney_disease,0.2245566521
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Paroxysmal_tachycardia,0.2218776367
Diseases_of_the_circulatory_system|Hypertensive_diseases|Hypertensive_heart_and_chronic_kidney_disease,0.2003785502
Factors_influencing_health_status_and_contact_with_health_services|Persons_with_potential_health_hazards_related_to_family_and_personal_history_and_certain_conditions_influencing_health_status|Personal_history_of_certain_other_diseases|Personal_history_of_diseases_of_the_circulatory_system|Personal_history_of_venous_thrombosis_and_embolism,0.1838793591
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Paroxysmal_tachycardia,0.1739472282
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Heart_failure|Diastolic_(congestive)_heart_failure,0.1624370372
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Cardiomyopathy,0.1617747339
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Cardiomyopathy,0.1588196845
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Cardiomyopathy,0.1529360421
Diseases_of_the_circulatory_system|Other_forms_of_heart_disease|Atrioventricular_and_left_bundle-branch_block,0.1500066504
Symptoms,_signs_and_abnormal_clinical_and_laboratory_findings,_not_elsewhere_classified|General_symptoms_and_signs|Edema,_not_elsewhere_classified,0.1397927945
Diseases_of_the_circulatory_system|Pulmonary_heart_disease_and_diseases_of_pulmonary_circulation|Other_pulmonary_heart_diseases|Other_secondary_pulmonary_hypertension,0.1136417627
SUPPLEMENTARY_CLASSIFICATION_OF_FACTORS_INFLUENCING_HEALTH_STATUS_AND_CONTACT_WITH_HEALTH_SERVICES|PERSONS_ENCOUNTERING_HEALTH_SERVICES_FOR_SPECIFIC_PROCEDURES_AND_AFTERCARE|Encounter_for_other_and_unspecified_procedures_and_aftercare|Encounter_for_long-term_(current)_drug_use,0.02503440637
